20170722193128.wav,US,'fwfqh',Accepted,'5.47631's
20170722193136.wav,US,'htiu9',Accepted,'4.88452's
20170722193143.wav,US,'tho79',Accepted,'5.10475's
20170722193151.wav,US,'apgvk',Accepted,'5.37134's
20170722193159.wav,US,'zbe93',Accepted,'4.7763's
20170722193207.wav,US,'bS5n7',Accepted,'5.39453's
20170722193215.wav,US,'m54f3',Accepted,'4.88792's
20170722193223.wav,US,'l7l40',Accepted,'4.76629's
20170722193231.wav,US,'9iqzn',Accepted,'5.02698's
20170722193240.wav,US,'oyx7c',Accepted,'5.05066's
20170722193247.wav,US,'49a5z',Accepted,'4.7584's
20170722193256.wav,US,'d5fbl',Accepted,'5.31411's
20170722193304.wav,US,'t41t6',Accepted,'4.7035's
20170722193311.wav,US,'tra0i',Accepted,'5.7967's
20170722193320.wav,US,'ga2at',Accepted,'5.2633's
20170722193328.wav,US,'b6hlt',Accepted,'5.63741's
20170722193337.wav,US,'9h8lf',Accepted,'5.11455's
20170722193345.wav,US,'fu2gb',Accepted,'5.36364's
20170722193353.wav,US,'xzp2y',Accepted,'5.4985's
20170722193402.wav,US,'w04ry',Accepted,'5.36937's
